epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5795,1.9198,2.73214,2.50814,0.00333,1,0.4975,0.30374,1.31105,3.24633,2.07449,0,0,0
2,17.5081,1.1715,4.12529,1.17752,0.00333,1,0.4975,0.30435,1.40231,3.0956,2.10146,1.9802e-05,1.9802e-05,1.9802e-05
3,19.3361,0.90854,3.3578,1.45949,0.00333,1,0.4975,0.30152,1.33423,3.10677,2.04291,3.9208e-05,3.9208e-05,3.9208e-05
4,21.109,1.15679,2.64315,1.75211,0.00333,1,0.4975,0.2985,1.18496,3.23279,2.04385,5.8218e-05,5.8218e-05,5.8218e-05
5,23.3103,1.81792,2.78057,2.10889,0.00333,1,0.995,0.60871,1.22218,3.09285,2.01235,7.6832e-05,7.6832e-05,7.6832e-05
6,25.5187,1.34548,2.35297,1.89531,0.00333,1,0.995,0.597,1.31847,2.99422,2.03062,9.505e-05,9.505e-05,9.505e-05
7,27.5731,0.73297,2.87994,1.30596,0.00333,1,0.995,0.6965,1.26181,3.029,1.93194,0.000112872,0.000112872,0.000112872
8,29.4777,0.7535,2.11901,1.21004,0.00333,1,0.995,0.597,0.98749,3.12284,1.57743,0.000130298,0.000130298,0.000130298
9,32.0165,0.86254,2.33876,1.2744,0.00333,1,0.995,0.597,0.72891,3.05518,1.19423,0.000147328,0.000147328,0.000147328
10,33.9706,0.76677,3.08598,1.25464,0.00333,1,0.995,0.597,0.41297,2.92326,0.96183,0.000163962,0.000163962,0.000163962
11,35.7507,0.45181,1.87911,0.86052,0.00333,1,0.995,0.6965,0.24947,2.83161,0.89605,0.0001802,0.0001802,0.0001802
12,37.7917,1.86125,2.58493,2.28326,0.00333,1,0.995,0.6965,0.32902,2.85992,0.89793,0.000196042,0.000196042,0.000196042
13,39.921,0.60834,1.56372,0.8452,0.00333,1,0.995,0.796,0.35811,2.8483,0.89438,0.000211488,0.000211488,0.000211488
14,41.7706,1.00746,2.6813,1.39589,0.00333,1,0.995,0.796,0.38797,2.81277,0.89527,0.000226538,0.000226538,0.000226538
15,43.592,1.61429,3.67042,2.19896,0.00333,1,0.995,0.796,0.41625,2.81164,0.94622,0.000241192,0.000241192,0.000241192
16,45.8925,1.28289,2.45894,1.32356,0.00333,1,0.995,0.796,0.3876,2.78056,0.97378,0.00025545,0.00025545,0.00025545
17,47.9778,0.68509,2.11849,1.02045,0.00333,1,0.995,0.796,0.42088,2.77437,0.94469,0.000269312,0.000269312,0.000269312
18,49.6137,0.44928,1.1019,0.92613,0.00333,1,0.995,0.796,0.42088,2.77437,0.94469,0.000282778,0.000282778,0.000282778
19,51.4445,0.6536,1.69888,1.12598,0.00333,1,0.995,0.8955,0.34117,2.71033,0.936,0.000295848,0.000295848,0.000295848
20,53.8185,0.83934,1.10735,1.45394,0.00333,1,0.995,0.8955,0.34117,2.71033,0.936,0.000308522,0.000308522,0.000308522
21,55.6418,0.40853,1.08004,0.9997,0.00333,1,0.995,0.8955,0.33028,2.7131,0.97446,0.0003208,0.0003208,0.0003208
22,57.0698,1.50618,3.34988,1.68376,0.00333,1,0.995,0.8955,0.33028,2.7131,0.97446,0.000332682,0.000332682,0.000332682
23,58.6345,0.28304,0.96276,1.02844,0.00333,1,0.995,0.796,0.45209,2.71027,1.03394,0.000344168,0.000344168,0.000344168
24,60.8934,0.81448,0.97234,1.03452,0.00333,1,0.995,0.796,0.45209,2.71027,1.03394,0.000355258,0.000355258,0.000355258
25,62.7325,0.73412,0.90423,1.00903,0.30854,1,0.995,0.46907,0.99305,3.00811,1.27364,0.000365952,0.000365952,0.000365952
26,64.4068,0.96601,2.46375,1.35144,0.30854,1,0.995,0.46907,0.99305,3.00811,1.27364,0.00037625,0.00037625,0.00037625
27,66.1747,1.31419,4.40502,1.53358,0.4948,1,0.995,0.33635,1.42691,3.82062,1.68433,0.000386152,0.000386152,0.000386152
28,68.6873,1.92381,6.50127,1.94487,0.4948,1,0.995,0.33635,1.42691,3.82062,1.68433,0.000395658,0.000395658,0.000395658
29,70.6772,0.59152,1.03092,1.09187,0.00779,1,0.995,0.4577,0.8969,2.98824,1.14806,0.000404768,0.000404768,0.000404768
30,72.3689,0.84067,1.39918,1.82744,0.00779,1,0.995,0.4577,0.8969,2.98824,1.14806,0.000413482,0.000413482,0.000413482
31,74.3678,0.85107,1.3948,1.41527,0.00333,1,0.995,0.796,0.46611,2.68868,0.95174,0.0004218,0.0004218,0.0004218
32,76.3979,1.1855,1.64989,1.39784,0.00333,1,0.995,0.796,0.46611,2.68868,0.95174,0.000429722,0.000429722,0.000429722
33,78.5437,0.69931,1.50317,1.19912,0.00333,1,0.4975,0.44775,0.54042,2.76639,1.08246,0.000437248,0.000437248,0.000437248
34,80.2444,0.47213,1.72823,1.21391,0.00333,1,0.4975,0.44775,0.54042,2.76639,1.08246,0.000444378,0.000444378,0.000444378
35,82.6697,1.53456,4.18686,1.93659,0.00333,1,0.33167,0.22387,0.66946,2.95867,1.21217,0.000451112,0.000451112,0.000451112
36,84.3722,0.52748,1.47411,0.9483,0.00333,1,0.33167,0.22387,0.66946,2.95867,1.21217,0.00045745,0.00045745,0.00045745
