epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,86.2281,0.50004,1.67962,1.04135,0.00333,1,0.33167,0.24046,0.7489,2.96886,1.21469,0.000463392,0.000463392,0.000463392
38,87.9335,3.35061,5.03502,3.16223,0.00333,1,0.33167,0.24046,0.7489,2.96886,1.21469,0.000468938,0.000468938,0.000468938
39,90.328,0.64946,1.43995,1.05929,0.00333,1,0.4975,0.2985,0.69299,2.99262,1.06756,0.000474088,0.000474088,0.000474088
40,92.0319,0.92581,1.61435,1.31697,0.00333,1,0.4975,0.2985,0.69299,2.99262,1.06756,0.000478842,0.000478842,0.000478842
41,93.8329,1.36831,2.72943,1.58763,0.00333,1,0.995,0.8955,0.3557,2.49222,0.95192,0.0004832,0.0004832,0.0004832
42,95.5344,0.55194,1.57822,1.16297,0.00333,1,0.995,0.8955,0.3557,2.49222,0.95192,0.000487162,0.000487162,0.000487162
43,98.1685,1.17991,2.26352,1.35159,0.76322,1,0.995,0.8955,0.51241,2.05919,1.03625,0.000490728,0.000490728,0.000490728
44,99.8696,0.60756,1.64881,1.15768,0.76322,1,0.995,0.8955,0.51241,2.05919,1.03625,0.000493898,0.000493898,0.000493898
45,101.664,0.73407,1.23032,1.04396,0.88066,1,0.995,0.8955,0.56159,1.79919,1.26145,0.000496672,0.000496672,0.000496672
46,103.784,1.0133,2.58145,1.73684,0.88066,1,0.995,0.8955,0.56159,1.79919,1.26145,0.00049905,0.00049905,0.00049905
47,105.908,1.17865,1.79222,1.15462,0.91436,1,0.995,0.8955,0.503,1.74907,1.10456,0.000501032,0.000501032,0.000501032
48,107.538,0.54518,1.24821,1.01005,0.91436,1,0.995,0.8955,0.503,1.74907,1.10456,0.000502618,0.000502618,0.000502618
49,109.269,1.01297,1.93595,1.3038,0.92318,1,0.995,0.796,0.69352,1.97892,1.43777,0.000503808,0.000503808,0.000503808
50,111.605,0.51908,1.79433,0.96485,0.92318,1,0.995,0.796,0.69352,1.97892,1.43777,0.000504602,0.000504602,0.000504602
51,113.412,0.44073,1.12212,0.86101,0.95455,1,0.995,0.796,0.7476,1.84718,1.99778,0.000505,0.000505,0.000505
52,115.035,0.51053,2.32901,1.21985,0.95455,1,0.995,0.796,0.7476,1.84718,1.99778,0.000505002,0.000505002,0.000505002
53,116.772,1.46278,2.68366,1.94933,0.95455,1,0.995,0.796,0.7476,1.84718,1.99778,0.000504608,0.000504608,0.000504608
54,119.196,0.97558,1.95058,1.29527,0.95521,1,0.995,0.796,0.67142,1.7389,1.82589,0.000503818,0.000503818,0.000503818
55,120.812,1.28871,1.48728,1.13313,0.95521,1,0.995,0.796,0.67142,1.7389,1.82589,0.000502632,0.000502632,0.000502632
56,122.532,0.88623,2.24523,1.33992,0.95521,1,0.995,0.796,0.67142,1.7389,1.82589,0.00050105,0.00050105,0.00050105
57,124.286,1.27771,2.11572,1.2777,0.95452,1,0.995,0.995,0.44356,1.75058,1.11901,0.000499072,0.000499072,0.000499072
58,126.641,1.21525,1.57606,1.2995,0.95452,1,0.995,0.995,0.44356,1.75058,1.11901,0.000496698,0.000496698,0.000496698
59,128.353,0.38993,0.96374,0.85704,0.95452,1,0.995,0.995,0.44356,1.75058,1.11901,0.000493928,0.000493928,0.000493928
60,130.097,0.47884,1.1089,1.09572,0.96569,1,0.995,0.8955,0.40559,1.27822,1.01692,0.000490762,0.000490762,0.000490762
61,132.068,0.45928,1.11721,0.79462,0.96569,1,0.995,0.8955,0.40559,1.27822,1.01692,0.0004872,0.0004872,0.0004872
62,134.319,0.58963,1.59859,1.1165,0.96569,1,0.995,0.8955,0.40559,1.27822,1.01692,0.000483242,0.000483242,0.000483242
63,136.172,0.61134,1.53823,1.02824,0.97075,1,0.995,0.995,0.31394,1.38659,0.8797,0.000478888,0.000478888,0.000478888
64,137.825,0.39551,1.01551,0.93835,0.97075,1,0.995,0.995,0.31394,1.38659,0.8797,0.000474138,0.000474138,0.000474138
65,140.02,0.50819,1.12244,0.98157,0.97075,1,0.995,0.995,0.31394,1.38659,0.8797,0.000468992,0.000468992,0.000468992
66,142.238,0.61817,1.86212,1.09751,0.96451,1,0.995,0.995,0.33961,1.25039,0.88006,0.00046345,0.00046345,0.00046345
67,143.964,0.38712,1.22816,1.21033,0.96451,1,0.995,0.995,0.33961,1.25039,0.88006,0.000457512,0.000457512,0.000457512
68,145.669,1.14893,1.62814,1.49805,0.96451,1,0.995,0.995,0.33961,1.25039,0.88006,0.000451178,0.000451178,0.000451178
69,148.158,0.77193,1.62215,1.14168,0.96631,1,0.995,0.8955,0.32123,1.08025,0.87113,0.000444448,0.000444448,0.000444448
70,149.763,0.42496,1.64258,1.1322,0.96631,1,0.995,0.8955,0.32123,1.08025,0.87113,0.000437322,0.000437322,0.000437322
71,151.454,0.75644,1.40987,1.39301,0.96631,1,0.995,0.8955,0.32123,1.08025,0.87113,0.0004298,0.0004298,0.0004298
72,153.28,0.83595,1.67593,1.39897,0.97074,1,0.995,0.995,0.31032,0.99324,0.87462,0.000421882,0.000421882,0.000421882
73,155.638,0.54851,1.06735,0.79684,0.97074,1,0.995,0.995,0.31032,0.99324,0.87462,0.000413568,0.000413568,0.000413568
74,157.302,1.12225,1.33321,1.66079,0.97074,1,0.995,0.995,0.31032,0.99324,0.87462,0.000404858,0.000404858,0.000404858
75,159.102,0.44046,1.0239,0.97302,0.97176,1,0.995,0.995,0.30307,1.12912,0.86246,0.000395752,0.000395752,0.000395752
76,160.74,1.13018,1.31165,1.31925,0.97176,1,0.995,0.995,0.30307,1.12912,0.86246,0.00038625,0.00038625,0.00038625
77,163.137,0.79102,2.03403,1.52529,0.97176,1,0.995,0.995,0.30307,1.12912,0.86246,0.000376352,0.000376352,0.000376352
78,165.125,1.12144,1.05941,1.29427,0.97048,1,0.995,0.995,0.26211,1.15612,0.85008,0.000366058,0.000366058,0.000366058
79,166.807,1.26501,1.92579,1.63771,0.97048,1,0.995,0.995,0.26211,1.15612,0.85008,0.000355368,0.000355368,0.000355368
80,169,0.47167,5.56397,1.20482,0.97048,1,0.995,0.995,0.26211,1.15612,0.85008,0.000344282,0.000344282,0.000344282
81,171.362,0.94842,1.60899,1.85166,0.96514,1,0.995,0.995,0.27959,1.10554,0.85958,0.0003328,0.0003328,0.0003328
82,173.021,1.33984,1.28751,1.41629,0.96514,1,0.995,0.995,0.27959,1.10554,0.85958,0.000320922,0.000320922,0.000320922
83,174.73,0.71482,1.32603,1.18106,0.96514,1,0.995,0.995,0.27959,1.10554,0.85958,0.000308648,0.000308648,0.000308648
84,177.264,0.36694,1.33022,0.92709,0.9613,1,0.995,0.995,0.30496,1.15362,0.8772,0.000295978,0.000295978,0.000295978
85,178.801,0.76755,1.36649,1.19087,0.9613,1,0.995,0.995,0.30496,1.15362,0.8772,0.000282912,0.000282912,0.000282912
86,180.454,0.97394,1.44312,1.26645,0.9613,1,0.995,0.995,0.30496,1.15362,0.8772,0.00026945,0.00026945,0.00026945
87,182.149,0.68745,3.40552,1.18585,0.9613,1,0.995,0.995,0.30496,1.15362,0.8772,0.000255592,0.000255592,0.000255592
88,184.669,0.60248,1.26653,1.25798,0.96864,1,0.995,0.995,0.35167,1.28201,0.90795,0.000241338,0.000241338,0.000241338
89,186.318,0.5634,1.60508,1.52593,0.96864,1,0.995,0.995,0.35167,1.28201,0.90795,0.000226688,0.000226688,0.000226688
90,188.002,0.52269,0.95509,0.90726,0.96864,1,0.995,0.995,0.35167,1.28201,0.90795,0.000211642,0.000211642,0.000211642
91,189.639,0.42227,1.51074,0.86539,0.96864,1,0.995,0.995,0.35167,1.28201,0.90795,0.0001962,0.0001962,0.0001962
92,192.259,0.28841,1.2744,0.77299,0.96913,1,0.995,0.995,0.34129,1.1853,0.89518,0.000180362,0.000180362,0.000180362
93,194.05,0.39331,1.20363,1.05805,0.96913,1,0.995,0.995,0.34129,1.1853,0.89518,0.000164128,0.000164128,0.000164128
94,195.646,0.70032,2.35163,1.69396,0.96913,1,0.995,0.995,0.34129,1.1853,0.89518,0.000147498,0.000147498,0.000147498
95,197.519,0.4798,1.31633,0.95981,0.96913,1,0.995,0.995,0.34129,1.1853,0.89518,0.000130472,0.000130472,0.000130472
96,199.795,0.39184,1.21127,1.16347,0.97055,1,0.995,0.995,0.33522,1.15057,0.88495,0.00011305,0.00011305,0.00011305
97,201.57,0.50144,1.35844,1.19784,0.97055,1,0.995,0.995,0.33522,1.15057,0.88495,9.5232e-05,9.5232e-05,9.5232e-05
98,203.197,0.54987,1.27057,1.29092,0.97055,1,0.995,0.995,0.33522,1.15057,0.88495,7.7018e-05,7.7018e-05,7.7018e-05
99,205.415,0.66525,1.40124,0.94204,0.97055,1,0.995,0.995,0.33522,1.15057,0.88495,5.8408e-05,5.8408e-05,5.8408e-05
100,207.551,0.41396,1.23913,1.01481,0.97067,1,0.995,0.995,0.32009,1.10821,0.87351,3.9402e-05,3.9402e-05,3.9402e-05
